Team1,Team2,Winner,Ground,Date,Match_no,link,TeamName,inns,fours,sixes,xtras_receive,total,wkts_lost
England,Australia,Australia,Lord's,"Jul 21-24, 2005",1756,http://www.espncricinfo.com/ci/engine/match/213856.html,Australia,2,48,0,26,384,10
England,Australia,Australia,Lord's,"Jul 21-24, 2005",1756,http://www.espncricinfo.com/ci/engine/match/213856.html,England,2,22,2,14,180,10
Sri Lanka,West Indies,Sri Lanka,Kandy,"Jul 22-25, 2005",1757,http://www.espncricinfo.com/ci/engine/match/214009.html,Sri Lanka,1,20,0,7,150,10
Sri Lanka,West Indies,Sri Lanka,Kandy,"Jul 22-25, 2005",1757,http://www.espncricinfo.com/ci/engine/match/214009.html,West Indies,1,22,0,10,148,10
Sri Lanka,West Indies,Sri Lanka,Kandy,"Jul 22-25, 2005",1757,http://www.espncricinfo.com/ci/engine/match/214009.html,Sri Lanka,2,52,0,25,375,7
Sri Lanka,West Indies,Sri Lanka,Kandy,"Jul 22-25, 2005",1757,http://www.espncricinfo.com/ci/engine/match/214009.html,West Indies,2,17,1,13,137,10
England,Australia,England,Birmingham,"Aug 4-7, 2005",1758,http://www.espncricinfo.com/ci/engine/match/215010.html,England,1,54,10,24,407,10
England,Australia,England,Birmingham,"Aug 4-7, 2005",1758,http://www.espncricinfo.com/ci/engine/match/215010.html,Australia,1,39,0,31,308,10
England,Australia,England,Birmingham,"Aug 4-7, 2005",1758,http://www.espncricinfo.com/ci/engine/match/215010.html,England,2,17,6,10,182,10
England,Australia,England,Birmingham,"Aug 4-7, 2005",1758,http://www.espncricinfo.com/ci/engine/match/215010.html,Australia,2,32,2,40,279,10
Zimbabwe,New Zealand,New Zealand,Harare,"Aug 7-8, 2005",1759,http://www.espncricinfo.com/ci/engine/match/215253.html,New Zealand,1,62,6,15,452,9
Zimbabwe,New Zealand,New Zealand,Harare,"Aug 7-8, 2005",1759,http://www.espncricinfo.com/ci/engine/match/215253.html,Zimbabwe,1,4,0,14,59,10
Zimbabwe,New Zealand,New Zealand,Harare,"Aug 7-8, 2005",1759,http://www.espncricinfo.com/ci/engine/match/215253.html,Zimbabwe,2,12,0,14,99,10
England,Australia,drawn,Manchester,"Aug 11-15, 2005",1760,http://www.espncricinfo.com/ci/engine/match/215686.html,England,1,53,1,27,444,10
England,Australia,drawn,Manchester,"Aug 11-15, 2005",1760,http://www.espncricinfo.com/ci/engine/match/215686.html,Australia,1,29,2,38,302,10
England,Australia,drawn,Manchester,"Aug 11-15, 2005",1760,http://www.espncricinfo.com/ci/engine/match/215686.html,England,2,23,5,23,280,6
England,Australia,drawn,Manchester,"Aug 11-15, 2005",1760,http://www.espncricinfo.com/ci/engine/match/215686.html,Australia,2,46,2,34,371,9
Zimbabwe,New Zealand,New Zealand,Bulawayo,"Aug 15-17, 2005",1761,http://www.espncricinfo.com/ci/engine/match/216055.html,Zimbabwe,1,34,2,14,231,10
Zimbabwe,New Zealand,New Zealand,Bulawayo,"Aug 15-17, 2005",1761,http://www.espncricinfo.com/ci/engine/match/216055.html,New Zealand,1,73,1,32,484,10
